"","date","n","num pos typhi","num prepos typhi","num pos para","num prepos para"
"1",2019-04-16,2,1,0,0,0
"2",2019-04-26,4,2,0,0,2
"3",2019-05-10,12,0,0,2,0
"4",2019-05-17,2,0,0,0,0
"5",2019-06-07,9,0,0,0,1
"6",2019-06-24,1,0,1,0,0
"7",2019-07-08,24,0,15,0,9
"8",2019-07-16,18,0,5,0,3
"9",2019-08-06,1,0,1,0,0
"10",2019-08-07,41,0,31,0,15
"11",2019-08-09,9,0,0,0,0
"12",2019-09-04,10,0,1,0,0
"13",2019-09-05,1,0,0,0,0
"14",2019-09-09,12,7,0,0,0
"15",2019-09-13,19,9,3,1,0
"16",2019-09-16,2,0,2,0,0
"17",2019-09-27,7,5,0,0,0
"18",2019-10-16,1,0,0,0,0
"19",2019-10-23,4,3,0,2,0
"20",2019-10-24,5,3,1,1,0
"21",2019-10-25,4,2,2,0,0
"22",2019-10-29,4,2,1,0,0
"23",2019-10-30,6,5,0,0,0
"24",2019-10-31,3,3,0,1,0
"25",2019-11-01,8,5,0,1,2
"26",2019-11-02,10,3,2,0,0
"27",2019-11-06,13,1,5,0,0
"28",2019-11-08,11,6,4,1,0
"29",2019-11-18,10,6,4,1,0
"30",2019-11-19,7,0,2,0,0
"31",2019-11-20,18,2,5,4,0
"32",2019-11-21,19,6,6,0,2
"33",2019-11-22,11,8,1,2,0
"34",2019-11-26,13,0,1,0,0
"35",2019-11-29,13,4,2,0,0
"36",2019-12-06,11,7,4,0,0
"37",2019-12-11,18,8,5,2,0
"38",2019-12-18,3,0,2,0,0
"39",2019-12-19,31,7,5,0,4
"40",2019-12-27,13,10,3,1,0
"41",2020-01-01,23,11,4,1,0
"42",2020-01-06,2,0,0,0,0
"43",2020-01-14,18,9,2,0,1
"44",2020-01-16,10,3,4,1,0
"45",2020-01-20,7,2,0,0,1
"46",2020-01-24,15,11,0,2,0
"47",2020-02-03,9,3,2,1,1
"48",2020-02-07,12,5,3,0,1
"49",2020-02-17,10,6,2,0,0
"50",2020-02-18,25,13,2,3,1
"51",2020-02-22,8,0,0,6,0
"52",2020-02-27,13,7,1,0,0
"53",2020-02-28,21,8,4,0,0
"54",2020-03-04,13,9,2,0,0
"55",2020-03-05,17,7,4,0,0
"56",2020-03-13,19,9,3,1,0
"57",2020-03-16,16,3,0,1,0
